date,description,amount,category,card,source
2025-06-08,DD *DOORDASH BUFFALOWI 855-431-0459 CA,16.44,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-09,DD *DOORDASH DOLLARGEN 855-431-0459 CA,15.3,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-09,DD *DOORDASH BUFFALOWI 855-431-0459 CA,16.44,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-09,CTLP*REFRESHMENTS INC CORINTH MS,2.25,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-09,DD *DOORDASH PANDAEXPR 855-431-0459 CA,16.76,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-09,AMK MSU PANDA EXPRESS MISSISSIPPI S MS,8.88,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-09,GRUBHUB - MISSISSIPPI ST. MS STATE MS,6.3,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-10,WALMART.COM 800-925-6278 AR,51.73,Merchandise,Chase-7557,20250621-statements-7557-.pdf
2025-06-10,DD *DOORDASH BUFFALOWI 855-431-0459 CA,16.44,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-11,WALMART.COM 800-925-6278 AR,2.3,Merchandise,Chase-7557,20250621-statements-7557-.pdf
2025-06-11,SHELL OIL 52376960036 STARKVILLE MS,4.69,Gas,Chase-7557,20250621-statements-7557-.pdf
2025-06-12,WALMART.COM 800-925-6278 AR,45.88,Merchandise,Chase-7557,20250621-statements-7557-.pdf
2025-06-13,DD *DOORDASH DOLLARGEN 855-431-0459 CA,8.64,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-13,SHELL OIL 52376960036 STARKVILLE MS,7.14,Gas,Chase-7557,20250621-statements-7557-.pdf
2025-06-13,DD *DOORDASH BUFFALOWI 855-431-0459 CA,16.44,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-14,CTLP*REFRESHMENTS INC CORINTH MS,2.25,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-14,AMK MSU GRIFFIS POD MISSISSIPPI S MS,4.06,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-14,SHELL OIL 52376960036 STARKVILLE MS,7.47,Gas,Chase-7557,20250621-statements-7557-.pdf
2025-06-15,CTLP*REFRESHMENTS INC CORINTH MS,2.25,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-15,SHELL OIL 52376960036 STARKVILLE MS,1.17,Gas,Chase-7557,20250621-statements-7557-.pdf
2025-06-16,DD *DOORDASHDASHPASS DOORDASH.COM CA,9.99,Services,Chase-7557,20250621-statements-7557-.pdf
2025-06-16,CTLP*REFRESHMENTS INC CORINTH MS,2.25,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-16,resumeexample Paris,4.95,Services,Chase-7557,20250621-statements-7557-.pdf
2025-06-16,CTLP*REFRESHMENTS INC CORINTH MS,2.25,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-16,CTLP*REFRESHMENTS INC CORINTH MS,2.25,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-16,AMK MSU PANDA EXPRESS MISSISSIPPI S MS,8.88,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-16,CTLP*REFRESHMENTS INC CORINTH MS,2.25,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-16,AMK MSU GRIFFIS POD MISSISSIPPI S MS,6.61,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-16,DD *DOORDASH BUFFALOWI 855-431-0459 CA,16.44,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-16,CTLP*REFRESHMENTS INC CORINTH MS,1.75,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-16,SHELL OIL 52376960036 STARKVILLE MS,9.18,Gas,Chase-7557,20250621-statements-7557-.pdf
2025-06-17,CTLP*REFRESHMENTS INC CORINTH MS,2.25,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-17,AMK MSU PANDA EXPRESS MISSISSIPPI S MS,8.88,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-17,AMK MSU PANDA EXPRESS MISSISSIPPI S MS,2.14,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-17,SHELL OIL 52376960036 STARKVILLE MS,4.69,Gas,Chase-7557,20250621-statements-7557-.pdf
2025-06-18,WALMART.COM 8009256278 800-966-6546 AR,4.92,Merchandise,Chase-7557,20250621-statements-7557-.pdf
2025-06-18,WALMART.COM 8009256278 800-966-6546 AR,54.83,Merchandise,Chase-7557,20250621-statements-7557-.pdf
2025-06-18,SHELL OIL 52376960036 STARKVILLE MS,6.82,Gas,Chase-7557,20250621-statements-7557-.pdf
2025-06-19,CTLP*REFRESHMENTS INC CORINTH MS,2.25,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-23,WAL-MART #0112 STARKVILLE MS,22.3,Merchandise,Chase-7557,20250721-statements-7557-.pdf
2025-06-23,76 - DEES OIL CO INC STARKVILLE MS,3.63,Gas,Chase-7557,20250721-statements-7557-.pdf
2025-06-23,WAL-MART #0112 STARKVILLE MS,2.55,Merchandise,Chase-7557,20250721-statements-7557-.pdf
2025-06-23,STP*V*resume-example*s Etampes,4.95,Services,Chase-7557,20250721-statements-7557-.pdf
2025-06-24,Amazon.com*NO1R01W71 AMZN.COM/BILL WA,274.52,Merchandise,Chase-7557,20250721-statements-7557-.pdf
2025-06-24,AMAZON PRIME*NO2OY7UD1 Amzn.com/bill WA,8.01,Services,Chase-7557,20250721-statements-7557-.pdf
2025-06-26,WALMART.COM 800-925-6278 AR,30.21,Merchandise,Chase-7557,20250721-statements-7557-.pdf
2025-06-29,SHELL OIL 52376960036 STARKVILLE MS,3.2,Gas,Chase-7557,20250721-statements-7557-.pdf
2025-06-30,STP*V*resume-example*s Etampes,4.95,Services,Chase-7557,20250721-statements-7557-.pdf
2025-06-30,CL *Chase Travel TRIPCHRG.COM VA,671.95,Travel,Chase-7557,20250721-statements-7557-.pdf
2025-07-02,MSDPS JACKSON HQ JACKSON MS,24.0,Services,Chase-7557,20250721-statements-7557-.pdf
2025-07-02,MSDPS JACKSON HQ JACKSON MS,7.0,Services,Chase-7557,20250721-statements-7557-.pdf
2025-07-02,DD *DOORDASH BUFFALOWI 855-431-0459 CA,14.58,Dining,Chase-7557,20250721-statements-7557-.pdf
2025-07-02,GRUBHUB - MISSISSIPPI ST. MS STATE MS,8.01,Dining,Chase-7557,20250721-statements-7557-.pdf
2025-07-03,TARGET 00033852 NEW YORK NY,2.17,Merchandise,Chase-7557,20250721-statements-7557-.pdf
2025-07-03,MTA*NYCT PAYGO NEW YORK NY,2.9,Travel,Chase-7557,20250721-statements-7557-.pdf
2025-07-03,OMNY VENDING* NEW YORK NY,2.0,Travel,Chase-7557,20250721-statements-7557-.pdf
2025-07-03,LITTLE ITALY PIZZA NEW YORK NY,3.42,Dining,Chase-7557,20250721-statements-7557-.pdf
2025-07-03,MTA*NYCT PAYGO NEW YORK NY,2.9,Travel,Chase-7557,20250721-statements-7557-.pdf
2025-07-04,MTA*NYCT PAYGO NEW YORK NY,2.9,Travel,Chase-7557,20250721-statements-7557-.pdf
2025-07-04,MTA*NYCT PAYGO NEW YORK NY,2.9,Travel,Chase-7557,20250721-statements-7557-.pdf
2025-07-04,MTA*NYCT PAYGO NEW YORK NY,2.9,Travel,Chase-7557,20250721-statements-7557-.pdf
2025-07-04,MTA*NYCT PAYGO NEW YORK NY,2.9,Travel,Chase-7557,20250721-statements-7557-.pdf
2025-07-04,MTA*NYCT PAYGO NEW YORK NY,2.9,Travel,Chase-7557,20250721-statements-7557-.pdf
2025-07-04,MTA*NYCT PAYGO NEW YORK NY,2.9,Travel,Chase-7557,20250721-statements-7557-.pdf
2025-07-04,CENTURY 21 NEW YORK NY,12.99,Merchandise,Chase-7557,20250721-statements-7557-.pdf
2025-07-04,MTA*NYCT PAYGO NEW YORK NY,2.9,Travel,Chase-7557,20250721-statements-7557-.pdf
2025-07-04,CENTURY 21 NEW YORK NY,87.58,Merchandise,Chase-7557,20250721-statements-7557-.pdf
2025-07-05,MTA*NYCT PAYGO NEW YORK NY,2.9,Travel,Chase-7557,20250721-statements-7557-.pdf
2025-07-05,Hudson Yards NYC New York NY,16.33,Entertainment,Chase-7557,20250721-statements-7557-.pdf
2025-07-05,MTA*NYCT PAYGO NEW YORK NY,2.9,Travel,Chase-7557,20250721-statements-7557-.pdf
2025-07-05,MTA*NYCT PAYGO NEW YORK NY,2.1,Travel,Chase-7557,20250721-statements-7557-.pdf
2025-07-05,NYC GIFTS TOWN NEW YORK NY,32.66,Merchandise,Chase-7557,20250721-statements-7557-.pdf
2025-07-05,FAMOUS PIZZA NEW YORK NY,4.52,Dining,Chase-7557,20250721-statements-7557-.pdf
2025-07-05,42ND STREET NEW YORK NY,32.07,Other,Chase-7557,20250721-statements-7557-.pdf
2025-07-05,RAISING CANES 0888 NEW YORK NY,14.58,Dining,Chase-7557,20250721-statements-7557-.pdf
2025-07-06,BURGER KING #2446 NEW YORK NY,3.04,Dining,Chase-7557,20250721-statements-7557-.pdf
2025-07-06,WAL-MART #2279 GLEN BURNIE MD,22.12,Merchandise,Chase-7557,20250721-statements-7557-.pdf
2025-07-06,PILOT 253 CARNEYS POINT NJ,5.23,Gas,Chase-7557,20250721-statements-7557-.pdf
2025-07-07,STP*V*resume-example*s Etampes,4.95,Services,Chase-7557,20250721-statements-7557-.pdf
2025-07-07,TACO BELL #029042 CHATTANOOGA TN,1.09,Dining,Chase-7557,20250721-statements-7557-.pdf
2025-07-08,DD *DOORDASH BUFFALOWI 855-431-0459 CA,14.58,Dining,Chase-7557,20250721-statements-7557-.pdf
2025-07-09,WALMART.COM 8009256278 800-966-6546 AR,3.89,Merchandise,Chase-7557,20250721-statements-7557-.pdf
2025-07-09,Kindle Svcs*NL1SW0952 888-802-3080 WA,1.9,Services,Chase-7557,20250721-statements-7557-.pdf
2025-07-09,Amazon.com*NL79E7IL2 Amzn.com/bill WA,29.54,Merchandise,Chase-7557,20250721-statements-7557-.pdf
2025-07-09,WALMART.COM 8009256278 800-966-6546 AR,54.71,Merchandise,Chase-7557,20250721-statements-7557-.pdf
2025-07-10,WALMART.COM 800-925-6278 AR,5.32,Merchandise,Chase-7557,20250721-statements-7557-.pdf
2025-07-12,Kindle Svcs*NR12Q8TA0 888-802-3080 WA,3.18,Services,Chase-7557,20250721-statements-7557-.pdf
2025-07-16,WALMART.COM 800-925-6278 AR,4.22,Merchandise,Chase-7557,20250721-statements-7557-.pdf
2025-07-16,Kindle Svcs*719S50023 888-802-3080 WA,1.06,Services,Chase-7557,20250721-statements-7557-.pdf
2025-07-19,DD *DOORDASH BUFFALOWI 855-431-0459 CA,13.82,Dining,Chase-7557,20250721-statements-7557-.pdf
2025-07-19,AMAZON MKTPL*YS2PQ0PD3 Amzn.com/bill WA,38.46,Merchandise,Chase-7557,20250721-statements-7557-.pdf
2025-07-21,WM SUPERCENTER #112 STARKVILLE MS,12.03,Merchandise,Chase-7557,20250821-statements-7557- (1).pdf
2025-07-21,WM SUPERCENTER #112 STARKVILLE MS,21.27,Merchandise,Chase-7557,20250821-statements-7557- (1).pdf
2025-07-21,SHELL OIL 52376960036 STARKVILLE MS,3.14,Gas,Chase-7557,20250821-statements-7557- (1).pdf
2025-07-24,WM SUPERCENTER #112 STARKVILLE MS,-6.27,Merchandise,Chase-7557,20250821-statements-7557- (1).pdf
2025-07-24,Amazon.com*P69878V53 AMZN.COM/BILL WA,203.35,Merchandise,Chase-7557,20250821-statements-7557- (1).pdf
2025-07-26,SHELL OIL 52376960036 STARKVILLE MS,1.98,Gas,Chase-7557,20250821-statements-7557- (1).pdf
2025-07-27,SHELL OIL 52376960036 STARKVILLE MS,3.52,Gas,Chase-7557,20250821-statements-7557- (1).pdf
2025-07-28,COCA COLA CLARK STARKVILL OAKLAND KY,2.0,Dining,Chase-7557,20250821-statements-7557- (1).pdf
2025-07-28,CTLP*REFRESHMENTS INC CORINTH MS,1.25,Dining,Chase-7557,20250821-statements-7557- (1).pdf
2025-07-30,COCA COLA CLARK STARKVILL OAKLAND KY,2.0,Dining,Chase-7557,20250821-statements-7557- (1).pdf
2025-07-30,COCA COLA CLARK STARKVILL OAKLAND KY,2.0,Dining,Chase-7557,20250821-statements-7557- (1).pdf
2025-07-31,SHELL OIL 52376960036 STARKVILLE MS,3.03,Gas,Chase-7557,20250821-statements-7557- (1).pdf
2025-08-01,SHELL OIL 52376960036 STARKVILLE MS,6.59,Gas,Chase-7557,20250821-statements-7557- (1).pdf
2025-08-05,DOLLAR-GENERAL #2716 STARKVILLE MS,4.48,Merchandise,Chase-7557,20250821-statements-7557- (1).pdf
2025-08-05,UEC THEATRE 11 - STARKVIL STARKVILLE MS,22.0,Entertainment,Chase-7557,20250821-statements-7557- (1).pdf
2025-08-05,WAL-MART #0112 STARKVILLE MS,12.51,Merchandise,Chase-7557,20250821-statements-7557- (1).pdf
2025-08-06,WM SUPERCENTER #112 STARKVILLE MS,9.1,Merchandise,Chase-7557,20250821-statements-7557- (1).pdf
2025-08-06,WM SUPERCENTER #112 STARKVILLE MS,2.5,Merchandise,Chase-7557,20250821-statements-7557- (1).pdf
2025-08-08,WAL-MART #0112 STARKVILLE MS,6.0,Merchandise,Chase-7557,20250821-statements-7557- (1).pdf
2025-08-13,US MOBILE WWW.USMOBILE. NY,210.0,Services,Chase-7557,20250821-statements-7557- (1).pdf
2025-08-14,AMAZON MKTPL*GD2VA3JO3 Amzn.com/bill WA,20.56,Merchandise,Chase-7557,20250821-statements-7557- (1).pdf
2025-08-15,DD *DOORDASH WENDYS 855-431-0459 CA,15.48,Dining,Chase-7557,20250821-statements-7557- (1).pdf
2025-08-16,AMAZON PRIME*ZV9J04HW3 Amzn.com/bill WA,8.01,Merchandise,Chase-7557,20250821-statements-7557- (1).pdf
2025-08-16,MICRO CENTER MARIETTA MARIETTA GA,15.8,Merchandise,Chase-7557,20250821-statements-7557- (1).pdf
2025-08-16,MICRO CENTER MARIETTA MARIETTA GA,13.77,Merchandise,Chase-7557,20250821-statements-7557- (1).pdf
2025-08-17,AMAZON PRIME PMTS Amzn.com/bill WA,-8.01,Merchandise,Chase-7557,20250821-statements-7557- (1).pdf
2025-08-20,WALMART.COM 800-925-6278 AR,11.62,Merchandise,Chase-7557,20250821-statements-7557- (1).pdf
2025-08-21,WALMART.COM 800-925-6278 AR,13.47,Merchandise,Chase-7557,20250921-statements-7557-.pdf
2025-08-21,WALMART.COM 800-925-6278 AR,8.53,Merchandise,Chase-7557,20250921-statements-7557-.pdf
2025-08-23,Amazon.com*KM7B57WQ3 AMZN.COM/BILL WA,203.35,Merchandise,Chase-7557,20250921-statements-7557-.pdf
2025-08-24,DD *DOORDASH BUFFALOWI 855-431-0459 CA,22.66,Dining,Chase-7557,20250921-statements-7557-.pdf
2025-08-28,Amazon.com*8V5132GR3 Amzn.com/bill WA,22.73,Merchandise,Chase-7557,20250921-statements-7557-.pdf
2025-09-03,Amazon.com*TM8083CV3 Amzn.com/bill WA,26.64,Merchandise,Chase-2040,20250926-statements-2040-.pdf
2025-09-03,Kindle Svcs*Z22DA7RY3 888-802-3080 WA,1.06,Merchandise,Chase-2040,20250926-statements-2040-.pdf
2025-09-04,AMAZON MKTPL*LW4HZ4O33 Amzn.com/bill WA,163.44,Merchandise,Chase-2040,20250926-statements-2040-.pdf
2025-09-06,AMAZON MKTPL*YR1F72QJ3 Amzn.com/bill WA,8.53,Merchandise,Chase-2040,20250926-statements-2040-.pdf
2025-09-08,AMAZON MKTPL*VP2TT07D3 Amzn.com/bill WA,3.11,Merchandise,Chase-2040,20250926-statements-2040-.pdf
2025-09-09,AMAZON MKTPL*SE8ER9F73 Amzn.com/bill WA,4.27,Merchandise,Chase-2040,20250926-statements-2040-.pdf
2025-09-11,AMAZON MKTPL*XF7MP3EC3 Amzn.com/bill WA,24.96,Merchandise,Chase-2040,20250926-statements-2040-.pdf
2025-09-13,AWL*PEARSON EDUCATION PRSONCS.COM NJ,101.64,Services,Chase-7557,20250921-statements-7557-.pdf
2025-09-15,DD *DOORDASH CVS 855-431-0459 CA,22.83,Merchandise,Chase-7557,20250921-statements-7557-.pdf
2025-09-22,Amazon.com*OK01F6A03 AMZN.COM/BILL WA,203.35,Merchandise,Chase-7557,20251021-statements-7557-.pdf
2025-09-23,AMAZON MKTPL*P73A29453 Amzn.com/bill WA,20.97,Merchandise,Chase-2040,20250926-statements-2040-.pdf
2025-10-01,AMAZON PRIME*NV2906VU0 Amzn.com/bill WA,8.01,Services,Chase-7557,20251021-statements-7557-.pdf
2025-10-09,AMAZON MKTPL*NF2HW78O0 Amzn.com/bill WA,47.48,Merchandise,Chase-2040,20251026-statements-2040-.pdf
2025-10-11,Amazon.com*NF7FY1T22 Amzn.com/bill WA,35.1,Merchandise,Chase-2040,20251026-statements-2040-.pdf
2025-10-11,AMAZON MKTPL*NF1FY2T22 Amzn.com/bill WA,63.22,Merchandise,Chase-2040,20251026-statements-2040-.pdf
2025-10-15,AMAZON MKTPL*NM7P24BD1 Amzn.com/bill WA,4.68,Merchandise,Chase-2040,20251026-statements-2040-.pdf
2025-10-17,AMAZON MKTPL*NM1435Y60 Amzn.com/bill WA,3.41,Merchandise,Chase-2040,20251026-statements-2040-.pdf
2025-10-17,DD *DOORDASH TASTE 855-431-0459 CA,19.29,Dining,Chase-7557,20251021-statements-7557-.pdf
2025-10-21,DD *DOORDASH DOMINOS 855-431-0459 CA,14.15,Dining,Chase-7557,20251121-statements-7557-.pdf
2025-10-22,DD *DOORDASH SUSHIFROM 855-431-0459 CA,2.56,Dining,Chase-7557,20251121-statements-7557-.pdf
2025-10-22,Amazon.com*NU2PX3OU2 AMZN.COM/BILL WA,203.34,Merchandise,Chase-7557,20251121-statements-7557-.pdf
2025-10-25,DD *DOORDASH DOMINOS 855-431-0459 CA,14.79,Dining,Chase-7557,20251121-statements-7557-.pdf
2025-10-26,DD *DOORDASH BUFFALOWI 855-431-0459 CA,16.19,Dining,Chase-7557,20251121-statements-7557-.pdf
2025-10-27,AMAZON MKTPL*N44RW1BF1 Amzn.com/bill WA,65.79,Merchandise,Chase-2040,20251126-statements-2040-.pdf
2025-10-30,Waffle House 1888 STARKVILLE MS,10.5,Dining,Chase-2040,20251126-statements-2040-.pdf
2025-10-30,ATLYS INDIA PRIVATE LIMIT Gurgaon,75.54,Services,Chase-2040,20251126-statements-2040-.pdf
2025-11-01,AMAZON PRIME*7X66U24W3 Amzn.com/bill WA,8.01,Services,Chase-7557,20251121-statements-7557-.pdf
2025-11-01,DD *DOORDASH DOMINOS 855-431-0459 CA,18.73,Dining,Chase-7557,20251121-statements-7557-.pdf
2025-11-07,BURGER KING #5035 TUSCALOOSA AL,6.04,Dining,Chase-2040,20251126-statements-2040-.pdf
2025-11-07,BURGER KING #5035 TUSCALOOSA AL,2.63,Dining,Chase-2040,20251126-statements-2040-.pdf
2025-11-07,COCA COLA SOUTH METRO ATL ATLANTA GA,2.6,Dining,Chase-2040,20251126-statements-2040-.pdf
2025-11-08,CHEVRON FOOD MART ATLANTA GA,6.8,Gas,Chase-2040,20251126-statements-2040-.pdf
2025-11-08,TEXACO 0302995 OXFORD AL,2.04,Gas,Chase-2040,20251126-statements-2040-.pdf
2025-11-08,WENDYS #3830 ATLANTA GA,5.45,Dining,Chase-2040,20251126-statements-2040-.pdf
2025-11-09,MIDTOWN WASH ATLANTA GA,1.75,Services,Chase-2040,20251126-statements-2040-.pdf
2025-11-09,PATEL BROTHERS DECATUR DECATUR GA,14.9,Merchandise,Chase-2040,20251126-statements-2040-.pdf
2025-11-09,TECH DINING-PANDA EXPRESS ATLANTA GA,11.0,Dining,Chase-2040,20251126-statements-2040-.pdf
2025-11-10,EXXON NEW DEVELOPMENT OLIVE BRANCH MS,4.16,Gas,Chase-7557,20251121-statements-7557-.pdf
2025-11-17,THE UPS STORE 3702 662-3385077 MS,2.14,Services,Chase-7557,20251121-statements-7557-.pdf
2025-11-19,COCA COLA CLARK STARKVILL STARKVILLE MS,3.25,Dining,Chase-7557,20251121-statements-7557-.pdf
2025-11-19,COCA COLA CLARK STARKVILL STARKVILLE MS,3.25,Dining,Chase-7557,20251121-statements-7557-.pdf
2025-11-23,AMAZON PRIME*NB8CE8E73 Amzn.com/bill WA,1.06,Merchandise,Chase-7557,20251221-statements-7557-.pdf
2025-11-25,Amazon.com*B26NP5X02 Amzn.com/bill WA,8.75,Merchandise,Chase-2040,20251126-statements-2040-.pdf
2025-11-25,Amazon.com*B23YC0HR2 Amzn.com/bill WA,16.05,Merchandise,Chase-2040,20251126-statements-2040-.pdf
2025-11-26,AMAZON MKTPL*B234F6DO2 Amzn.com/bill WA,5.34,Merchandise,Chase-2040,20251126-statements-2040-.pdf
2025-11-30,AMAZON PRIME*JZ24N8Q83 Amzn.com/bill WA,8.01,Merchandise,Chase-7557,20251221-statements-7557-.pdf
2025-12-04,US MOBILE WWW.USMOBILE. NY,7.95,Services,Chase-7557,20251221-statements-7557-.pdf
2025-12-14,SHELL OIL 52376960036 STARKVILLE MS,6.29,Gas,Chase-7557,20251221-statements-7557-.pdf
2025-12-15,DD *DOORDASH DOMINOS 855-431-0459 CA,24.19,Dining,Chase-7557,20251221-statements-7557-.pdf
2025-12-16,HIGH GROUND COFFEE 178-15833699 MS,12.72,Dining,Chase-7557,20251221-statements-7557-.pdf
2025-12-19,ALDI 82075 STARKVILLE STARKVILLE MS,9.01,Merchandise,Chase-7557,20251221-statements-7557-.pdf
2025-12-19,KROGER #381 STARKVILLE MS,7.13,Merchandise,Chase-7557,20251221-statements-7557-.pdf
